id,name,domain,subDomain,platformCategory,criticality,techStack,ownerTeamId,smeId,lifecycleStatus,debtScore,description,vendorId
s_pega_tecto,Pega Tecto,Fulfillment & Assurance,Ordem Serviço,Plataforma Negócio,Tier 1,Plataforma Negócio,t_sq_fa_os,c_ger_fa,Ativo Greenfield,3,Plataforma usada no atacado.,v_pega
s_soa_ftth,SOA (Integrações FTTH),Fulfillment & Assurance,Ordem Serviço,Engenharia,Tier 1,Middleware,t_sq_fa_os,c_ger_fa,Fim de Vida (Freezing),7,Ordem de Serviço,
s_aws_atacado,AWS (Integr. Atacado),Fulfillment & Assurance,Ordem Serviço,Middleware,Tier 1,Cloud,t_sq_fa_os,c_ger_fa,Ativo Greenfield,2,Ordem de Serviço,
s_apitt,API Trouble Ticket,Fulfillment & Assurance,Ticket Problema,Middleware,Tier 1,API,t_ger_fa,c_ger_fa,Ativo Greenfield,2,API FTTH para abertura de chamados.,
s_apicom,API Comunicados,Fulfillment & Assurance,Ticket Problema,Middleware,Tier 2,API,t_ger_fa,c_ger_fa,Ativo Greenfield,1,Ticket Problema,
s_gcpos,GCP / Massivas,Fulfillment & Assurance,Ticket Problema,Dados/IA,Tier 1,Cloud,t_ger_fa,c_ger_fa,Ativo Greenfield,1,Camada intermediária massivas.,
s_pega_eventos,Pega Eventos,Fulfillment & Assurance,Ticket Problema,Plataforma Negócio,Tier 1,Plataforma,t_ger_fa,c_ger_fa,Ativo Greenfield,2,Ticket Problema,
s_order_inv,Order Inventory,Fulfillment & Assurance,Inventário Serviços,Middleware,Tier 1,Dados,t_ger_fa,c_ger_fa,Ativo Greenfield,3,Inventário Serviços,
s_service_inv,Service Inventory,Fulfillment & Assurance,Inventário Serviços,Engenharia,Tier 1,Dados,t_ger_fa,c_ger_fa,Planejado,0,Inventário Serviços,
s_portal_op,Portal Operacional,Fulfillment & Assurance,Apoio,Portais,Tier 2,Portais,t_ger_fa,c_ger_fa,Ativo Greenfield,4,Hub de múltiplos portais.,
s_portal_dev,Portal DEV,Fulfillment & Assurance,Apoio,Portais,Tier 2,Portais,t_ger_fa,c_ger_fa,Ativo Greenfield,2,Apoio,
